ONNX Operator Name,Map Description & Graph Fusion Description,HBIR Operator Name,BPU Support Constraints
Split,"//opset9
def emit_mlir_op(
    self, adaptor: NodeAdaptor, y: mlir.Type, x: mlir.Value, *args, axis=0, split
):
    ret_list = []
    shape = adaptor.operands[0].type.shape
    dim = len(shape)
    axis = axis if axis >= 0 else (dim + axis)
    asum = 0
    for i in range(len(split)):
        begin = np.array([0 if i != axis else asum for i in range(dim)])
        asum += split[i]
        end = np.array([shape[i] if i != axis else asum for i in range(dim)])
        step = np.ones(shape=dim, dtype=np.int64)
        output_type = y[i] if isinstance(y, list) else y
        ret_list.append(
            hbir.slice(x, begin=begin, end=end, step=step, output_type=output_type)
        )
    return ret_list
//opset13
def emit_mlir_op(
    self, adaptor: NodeAdaptor, y: mlir.Type, x: mlir.Value, *args, axis=0
):
    split = None
    if len(args) != 0:
        split = adaptor.operands[1].value.tolist()
    # format: ele = ceil(dim / num), the last one is dim - ele * (num -1)
    # for example, num_outputs is 3, dim is 128, get split [43, 43, 42]
    if split is None:
        split = []
        tmp_shape = adaptor.operands[0].type.shape
        num_outputs = len(adaptor.results)
        ele = int(math.ceil(tmp_shape[axis] / num_outputs))
        if tmp_shape[axis] % num_outputs == 0:
            split = [int(tmp_shape[axis] / num_outputs)] * num_outputs
        else:
            split = [ele] * (num_outputs - 1)
            split.append(tmp_shape[axis] - ele * (num_outputs - 1))

    ret_list = []
    shape = adaptor.operands[0].type.shape
    dim = len(shape)
    asum = 0
    for i in range(len(split)):
        begin = np.array([0 if i != axis else asum for i in range(dim)])
        asum += split[i]
        end = np.array([shape[i] if i != axis else asum for i in range(dim)])
        step = np.ones(dim, dtype=np.int64)
        output_type = y[i]
        ret_list.append(
            hbir.slice(x, begin=begin, end=end, step=step, output_type=output_type)
        )
    return ret_list
//opset18
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    x: mlir.Value,
    *args,
    axis=0,
    num_outputs=0,
):
    split = None
    if len(args) != 0:
        split = adaptor.operands[1].value.tolist()
    # format: ele = ceil(dim / num), the last one is dim - ele * (num -1)
    # for example, num_outputs is 3, dim is 128, get split [43, 43, 42]
    if split is None:
        split = []
        tmp_shape = adaptor.operands[0].type.shape
        ele = int(math.ceil(tmp_shape[axis] / num_outputs))
        if tmp_shape[axis] % num_outputs == 0:
            split = [int(tmp_shape[axis] / num_outputs)] * num_outputs
        else:
            split = [ele] * (num_outputs - 1)
            split.append(tmp_shape[axis] - ele * (num_outputs - 1))

    ret_list = []
    shape = adaptor.operands[0].type.shape
    dim = len(shape)
    asum = 0
    for i in range(len(split)):
        begin = np.array([0 if i != axis else asum for i in range(dim)])
        asum += split[i]
        end = np.array([shape[i] if i != axis else asum for i in range(dim)])
        step = np.ones(dim, dtype=np.int64)
        output_type = y[i] if isinstance(y, list) else y
        ret_list.append(
            hbir.slice(x, begin=begin, end=end, step=step, output_type=output_type)
        )
    return ret_list","hbir.slice
","{'hbir.slice': {'input': ['{Dim: all dims &lt; 2097152 }'], 'output': ['{Same as input}']}}"
Squeeze,"//opset9
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    data: mlir.Value,
    *,
    axes: Optional[mlir.Value] = None,
):
    shape = adaptor.results[0].type.shape
    return hbir.reshape(data, shape, output_type=y)
//opset13
def emit_mlir_op(self, adaptor: NodeAdaptor, y: mlir.Type, data: mlir.Value, *args):
    axes = []
    shape = adaptor.operands[0].type.shape
    rank = len(shape)
    # axes is input for op
    if len(args) != 0:
        axes = adaptor.operands[1].value.tolist()
        # axis is [-r, r-1] where r = rank(data)
        for idx in range(len(axes)):
            if axes[idx] < 0:
                axes[idx] = axes[idx] + rank
    else:
        # to find the single dimensions axis
        for idx in range(len(shape)):
            if shape[idx] == 1:
                axes.append(idx)

    axes = sorted(axes, reverse=True)
    for axis in axes:
        shape.pop(axis)
    return hbir.reshape(data, shape, output_type=y)","hbir.reshape
","{'hbir.reshape': {'input': ['{No limits}'], 'output': ['{Same as input}']}}"
Sub,"//opset9
def emit_mlir_op(
    self, adaptor: NodeAdaptor, y: mlir.Type, lhs: mlir.Value, rhs: mlir.Value
):
    return hbir.sub(lhs, rhs, output_type=y)","hbir.sub
","{'hbir.sub': {'lhs': ['{Type: int8, int16}\n{Shape: [*]}'], 'rhs': ['{Same as lhs}'], 'output': ['{Same as lhs}']}}"
Sum,"//opset9
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    lhs: mlir.Value,
    rhs: mlir.Value,
    *args,
):
    if len(args) != 0:
        raise ValueError(f""Operator Sum expects 2 inputs, but got {len(args)+2}"")
    return hbir.add(lhs, rhs, output_type=y)","hbir.add
","{'hbir.add': {'lhs': ['{Type: int8, int16, int32, if type is int32, this hbir.add op must be fusible to a Conv op}\n{Shape: [*]}'], 'rhs': ['{Same as lhs}'], 'output': ['{Same as lhs}']}}"
ThresholdedRelu,"//opset9
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    data: mlir.Value,
    *,
    alpha=1.0,
):
    max = 3.4028234663852886e38
    return hbir.clip(data, alpha, max, output_type=y)","hbir.clip
","{'hbir.clip': {'input': ['{Type: int8, int16}\n{Shape: [*]}'], 'output': ['{Same as input}']}}"
Tile,"//opset9
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    data: mlir.Value,
    repeats: mlir.Value,
):
    repeats = adaptor.operands[1].value
    return hbir.tile(data, repeats, output_type=y)","hbir.tile
","{'hbir.tile': {'input': ['{No limits}'], 'output': ['{Same as input}']}}"
TopK,"//opset9
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    data: mlir.Value,
    *,
    k: mlir.Value,
    axis: mlir.Value,
):
    largest = bool(1)
    sorted = bool(1)
    return hbir.topk(
        data,
        k=k,
        dim=axis,
        largest=largest,
        sorted=sorted,
        values_type=y[0],
        indices_type=y[1],
    )
//opset10
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    data: mlir.Value,
    k: mlir.Value,
    *,
    axis: mlir.Value,
):
    k = adaptor.operands[1].value.tolist()[0]
    largest = bool(1)
    sorted = bool(1)
    return hbir.topk(
        data,
        k=k,
        dim=axis,
        largest=largest,
        sorted=sorted,
        values_type=y[0],
        indices_type=y[1],
    )
//opset11
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    data: mlir.Value,
    k: mlir.Value,
    *,
    axis: mlir.Value,
    largest: mlir.Value = 1,
    sorted: mlir.Value = 1,
):
    k = adaptor.operands[1].value.tolist()[0]
    largest = bool(largest)
    sorted = bool(sorted)
    return hbir.topk(
        data,
        k=k,
        dim=axis,
        largest=largest,
        sorted=sorted,
        values_type=y[0],
        indices_type=y[1],
    )","hbir.topk
",{'hbir.topk': 'Unsupported'}
Transpose,"//opset9
def emit_mlir_op(self, adaptor: NodeAdaptor, y: mlir.Type, x: mlir.Value, perm):
    return hbir.transpose(x, perm, output_type=y)","hbir.transpose
","{'hbir.transpose': {'input': ['{No limits}'], 'output': ['{Same as input}']}}"
Relu,"//opset9
def emit_mlir_op(self, adaptor: NodeAdaptor, y: mlir.Type, x: mlir.Value):
    return hbir.relu(x, output_type=y)","hbir.relu
","{'hbir.relu': {'input': ['{Type: int8, int16, int32}\n{Shape: [*]}'], 'output': ['{Same as input}']}}"
Sigmoid,"//opset9
def emit_mlir_op(self, adaptor: NodeAdaptor, y: mlir.Type, x: mlir.Value):
    return hbir.sigmoid(x, output_type=y)","hbir.sigmoid
","{'hbir.sigmoid': {'input': ['{Type: int8, int16}\n{Shape: [*]}'], 'output': ['{Same as input}']}}"
Sin,"//opset9
def emit_mlir_op(self, adaptor: NodeAdaptor, y: mlir.Type, x: mlir.Value):
    return hbir.sin(x, output_type=y)","hbir.sin
","{'hbir.sin': {'input': ['{Type: int8, int16}\n{Shape: [*]}'], 'output': ['{Same as input}']}}"
Cos,"//opset9
def emit_mlir_op(self, adaptor: NodeAdaptor, y: mlir.Type, x: mlir.Value):
    return hbir.cos(x, output_type=y)","hbir.cos
","{'hbir.cos': {'input': ['{Type: int8, int16}\n{Shape: [*]}'], 'output': ['{Same as input}']}}"
Tan,"//opset9
def emit_mlir_op(self, adaptor: NodeAdaptor, y: mlir.Type, x: mlir.Value):
    return hbir.tan(x, output_type=y)","hbir.tan
","{'hbir.tan': {'input': ['{Type: int8, int16}\n{Shape: [*]}'], 'output': ['{Same as input}']}}"
Sinh,"//opset9
def emit_mlir_op(self, adaptor: NodeAdaptor, y: mlir.Type, x: mlir.Value):
    return hbir.sinh(x, output_type=y)","hbir.sinh
","{'hbir.sinh': {'input': ['{Type: int8, int16}\n{Shape: [*]}'], 'output': ['{Same as input}']}}"
Cosh,"//opset9
def emit_mlir_op(self, adaptor: NodeAdaptor, y: mlir.Type, x: mlir.Value):
    return hbir.cosh(x, output_type=y)","hbir.cosh
","{'hbir.cosh': {'input': ['{Type: int8, int16}\n{Shape: [*]}'], 'output': ['{Same as input}']}}"
Tanh,"//opset9
def emit_mlir_op(self, adaptor: NodeAdaptor, y: mlir.Type, x: mlir.Value):
    return hbir.tanh(x, output_type=y)","hbir.tanh
","{'hbir.tanh': {'input': ['{Type: int8, int16}\n{Shape: [*]}'], 'output': ['{Same as input}']}}"
Asin,"//opset9
def emit_mlir_op(self, adaptor: NodeAdaptor, y: mlir.Type, x: mlir.Value):
    return hbir.asin(x, output_type=y)","hbir.asin
","{'hbir.asin': {'input': ['{Type: int8, int16}\n{Shape: [*]}'], 'output': ['{Same as input}']}}"
Acos,"//opset9
def emit_mlir_op(self, adaptor: NodeAdaptor, y: mlir.Type, x: mlir.Value):
    return hbir.acos(x, output_type=y)","hbir.acos
","{'hbir.acos': {'input': ['{Type: int8, int16}\n{Shape: [*]}'], 'output': ['{Same as input}']}}"
Atan,"//opset9
def emit_mlir_op(self, adaptor: NodeAdaptor, y: mlir.Type, x: mlir.Value):
    return hbir.atan(x, output_type=y)","hbir.atan
","{'hbir.atan': {'input': ['{Type: int8, int16}\n{Shape: [*]}'], 'output': ['{Same as input}']}}"
Asinh,"//opset9
def emit_mlir_op(self, adaptor: NodeAdaptor, y: mlir.Type, x: mlir.Value):
    return hbir.asinh(x, output_type=y)","hbir.asinh
","{'hbir.asinh': {'input': ['{Type: int8, int16}\n{Shape: [*]}'], 'output': ['{Same as input}']}}"
Acosh,"//opset9
def emit_mlir_op(self, adaptor: NodeAdaptor, y: mlir.Type, x: mlir.Value):
    return hbir.acosh(x, output_type=y)","hbir.acosh
","{'hbir.acosh': {'input': ['{Type: int8, int16}\n{Shape: [*]}'], 'output': ['{Same as input}']}}"
Atanh,"//opset9
def emit_mlir_op(self, adaptor: NodeAdaptor, y: mlir.Type, x: mlir.Value):
    return hbir.atanh(x, output_type=y)","hbir.atanh
","{'hbir.atanh': {'input': ['{Type: int8, int16}\n{Shape: [*]}'], 'output': ['{Same as input}']}}"
Erf,"//opset9
def emit_mlir_op(self, adaptor: NodeAdaptor, y: mlir.Type, x: mlir.Value):
    return hbir.erf(x, output_type=y)","hbir.erf
","{'hbir.erf': {'input': ['{Type: int8, int16}\n{Shape: [*]}'], 'output': ['{Same as input}']}}"
Sqrt,"//opset9
def emit_mlir_op(self, adaptor: NodeAdaptor, y: mlir.Type, x: mlir.Value):
    return hbir.sqrt(x, output_type=y)","hbir.sqrt
","{'hbir.sqrt': {'input': ['{Type: int8, int16}\n{Shape: [*]}'], 'output': ['{Same as input}']}}"
Log,"//opset9
def emit_mlir_op(self, adaptor: NodeAdaptor, y: mlir.Type, x: mlir.Value):
    return hbir.log(x, output_type=y)","hbir.log
","{'hbir.log': {'input': ['{Type: int8, int16}\n{Shape: [*]}'], 'output': ['{Same as input}']}}"
Abs,"//opset9
def emit_mlir_op(self, adaptor: NodeAdaptor, y: mlir.Type, x: mlir.Value):
    return hbir.abs(x, output_type=y)
//opset13
def emit_mlir_op(self, adaptor: NodeAdaptor, y: mlir.Type, x: mlir.Value):
    return hbir.abs(x, output_type=y)","hbir.abs
","{'hbir.abs': {'input': ['{Type: int8, int16}\n{Shape: [*]}'], 'output': ['{Same as input}']}}"
Floor,"//opset9
def emit_mlir_op(self, adaptor: NodeAdaptor, y: mlir.Type, x: mlir.Value):
    return hbir.floor(x, output_type=y)","hbir.floor
","{'hbir.floor': {'input': ['{Type: int8, int16}\n{Shape: [*]}'], 'output': ['{Same as input}']}}"
Ceil,"//opset9
def emit_mlir_op(self, adaptor: NodeAdaptor, y: mlir.Type, x: mlir.Value):
    return hbir.ceil(x, output_type=y)","hbir.ceil
","{'hbir.ceil': {'input': ['{Type: int8, int16}\n{Shape: [*]}'], 'output': ['{Same as input}']}}"
Not,"//opset9
def emit_mlir_op(self, adaptor: NodeAdaptor, y: mlir.Type, x: mlir.Value):
    return hbir.logical_not(x, output_type=y)","hbir.logical_not
","{'hbir.logical_not': {'input': ['{Type: int8, int16, bool8}\n{Shape: [*]}'], 'output': ['{Type: bool8}']}}"
Sign,"//opset9
def emit_mlir_op(self, adaptor: NodeAdaptor, y: mlir.Type, x: mlir.Value):
    return hbir.sign(x, output_type=y)","hbir.sign
",{'hbir.sign': 'Unsupported'}
Unsqueeze,"//opset9
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    data: mlir.Value,
    *,
    axes: mlir.Value,
):
    shape = adaptor.results[0].type.shape
    return hbir.reshape(data, shape, output_type=y)
//opset13
def emit_mlir_op(
    self, adaptor: NodeAdaptor, y: mlir.Type, data: mlir.Value, axes: mlir.Value
):
    shape = adaptor.results[0].type.shape
    return hbir.reshape(data, shape, output_type=y)","hbir.reshape
","{'hbir.reshape': {'input': ['{No limits}'], 'output': ['{Same as input}']}}"
Where,"//opset9
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    condition: mlir.Value,
    X: mlir.Value,
    Y: mlir.Value,
):
    return hbir.where(condition, X, Y, output_type=y)","hbir.where
","{'hbir.where': {'condition': ['{Type: bool8}'], 'lhs': ['{Type: int8, int16}\n{Shape: [*]}'], 'rhs': ['{Type: int8, int16}'], 'output': ['{Same as lhs}']}}"
Xor,"//opset9
def emit_mlir_op(
    self, adaptor: NodeAdaptor, y: mlir.Type, lhs: mlir.Value, rhs: mlir.Value
):
    return hbir.logical_xor(lhs, rhs, output_type=y)","hbir.logical_xor
","{'hbir.logical_xor': {'lhs': ['{Type: int8, int16, bool8}\n{Shape: [*]}'], 'rhs': ['{Same as lhs}'], 'output': ['{Type: bool8}']}}"
Mod,"//opset10
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    lhs: mlir.Value,
    rhs: mlir.Value,
    *,
    fmod=0,
):
    return hbir.mod(lhs, rhs, sameSignAsDividend=(fmod != 0), output_type=y)
//opset13
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    lhs: mlir.Value,
    rhs: mlir.Value,
    *,
    fmod=0,
):
    return hbir.mod(lhs, rhs, sameSignAsDividend=(fmod != 0), output_type=y)","hbir.mod
",{'hbir.mod': 'Unsupported'}
